                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3566,                  32.82,                      0,                 4.6505,                 96.644,                      0,                0.01046,                0.01376,                0.00146,                0.00029,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054725,             0.00054725,             0.00054725
                      2,                 4.1451,                 8.5548,                      0,                 3.7176,                 27.894,                      0,                 0.0052,                0.24226,                0.00667,                0.00151,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011026,              0.0011026,              0.0011026
                      3,                 3.5553,                  5.862,                      0,                 3.4775,                 13.615,                      0,                0.51177,                0.04128,                0.00573,                0.00122,                      0,                      0,                      0,                      0,                      0,                      0,               0.001657,               0.001657,               0.001657
                      4,                 3.4172,                 4.1714,                      0,                   3.22,                 8.5494,                      0,                0.01114,                0.55325,                0.03304,                0.00914,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016633,              0.0016633,              0.0016633
                      5,                 3.1031,                 3.5394,                      0,                 2.8527,                 5.7049,                      0,                0.57447,                0.14679,                0.07563,                0.01933,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016633,              0.0016633,              0.0016633
                      6,                 2.8168,                 3.0509,                      0,                 2.7389,                 4.3672,                      0,                0.20362,                0.13625,                0.05895,                0.01457,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016605,              0.0016605,              0.0016605
                      7,                 2.8536,                 2.7655,                      0,                 2.7778,                 3.9747,                      0,                0.10698,                0.10581,                0.06434,                0.02002,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016568,              0.0016568,              0.0016568
                      8,                 2.7482,                 2.6369,                      0,                 2.6263,                 3.4688,                      0,                0.26338,                0.20506,                 0.1156,                0.03176,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016524,              0.0016524,              0.0016524
                      9,                 2.6097,                 2.3009,                      0,                 2.5954,                 3.1329,                      0,                0.36827,                0.22341,                0.11797,                0.03746,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016471,              0.0016471,              0.0016471
                     10,                 2.3965,                 2.2267,                      0,                 2.4703,                 2.9418,                      0,                0.08247,                0.54903,                0.12054,                0.03832,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016411,              0.0016411,              0.0016411
                     11,                  2.317,                 2.2715,                      0,                 2.4089,                 2.7863,                      0,                0.13371,                0.38274,                0.11117,                 0.0352,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016342,              0.0016342,              0.0016342
                     12,                 2.3024,                 1.9964,                      0,                 2.3655,                 2.6757,                      0,                0.60087,                0.25229,                0.14282,                0.04996,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016266,              0.0016266,              0.0016266
                     13,                 2.3657,                 2.0394,                      0,                 2.3228,                 2.5148,                      0,                0.17983,                0.20965,                0.14175,                0.05078,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016182,              0.0016182,              0.0016182
                     14,                 2.3016,                 2.0317,                      0,                 2.3184,                 2.6002,                      0,                 0.1841,                0.20334,                0.13838,                0.04417,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016091,              0.0016091,              0.0016091
                     15,                 2.3127,                 2.0819,                      0,                 2.2987,                 2.6269,                      0,                0.19139,                0.32769,                0.13518,                 0.0471,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015991,              0.0015991,              0.0015991
                     16,                 2.2801,                 1.9738,                      0,                 2.2488,                 2.4606,                      0,                0.17702,                0.28405,                0.12862,                0.05194,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015885,              0.0015885,              0.0015885
                     17,                  2.363,                  2.108,                      0,                 2.2928,                 2.5844,                      0,                0.25554,                0.28218,                0.13602,                0.05266,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015771,              0.0015771,              0.0015771
                     18,                 2.2418,                 1.9705,                      0,                 2.2643,                 2.4886,                      0,                0.23926,                0.33959,                 0.1929,                0.06304,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015649,              0.0015649,              0.0015649
                     19,                 2.0995,                 1.8976,                      0,                 2.2028,                 2.4729,                      0,                0.23604,                0.32373,                0.19665,                0.06872,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015521,              0.0015521,              0.0015521
                     20,                 2.1025,                 1.8488,                      0,                 2.1523,                 2.4031,                      0,                0.39171,                0.24061,                0.21771,                 0.0833,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015385,              0.0015385,              0.0015385
                     21,                 1.9568,                 1.8273,                      0,                 2.0572,                 2.3453,                      0,                0.29448,                0.27215,                0.20156,                0.08191,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015243,              0.0015243,              0.0015243
                     22,                 2.0163,                 1.8273,                      0,                 2.0536,                 2.4068,                      0,                0.24079,                0.31716,                0.21055,                0.07783,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015094,              0.0015094,              0.0015094
                     23,                 1.9923,                  1.914,                      0,                 2.0479,                 2.3421,                      0,                0.27592,                0.26125,                0.21845,                0.09264,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014938,              0.0014938,              0.0014938
                     24,                 1.8503,                 1.7245,                      0,                 1.9653,                  2.243,                      0,                0.28768,                0.34246,                0.22413,                0.09452,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014776,              0.0014776,              0.0014776
                     25,                 1.7864,                 1.6316,                      0,                 1.9219,                 2.1484,                      0,                0.27216,                0.40768,                0.25024,                0.10019,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014608,              0.0014608,              0.0014608
