epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6033,2.04714,3.22771,2.14061,0.02647,0.02752,0.00461,0.00138,1.94556,0.80595,1.90076,0.000547247,0.000547247,0.000547247
2,82.2827,1.33614,0.81444,1.1066,0.05448,0.17159,0.03014,0.00829,1.2288,0.6121,1.11277,0.00110264,0.00110264,0.00110264
3,121.797,1.03604,1.35729,0.77933,0.00116,0.04774,6e-05,1e-05,2.17033,0.16588,2.20142,0.00165696,0.00165696,0.00165696
4,161.234,1.24106,0.73667,1.11559,0.06617,0.1799,0.04544,0.01669,0.85681,0.98845,0.70536,0.00166334,0.00166334,0.00166334
5,200.963,1.08275,0.89549,0.88953,0.06264,0.16564,0.03677,0.01713,1.07536,0.77438,0.93414,0.00166049,0.00166049,0.00166049
6,240.632,0.9472,1.0007,0.77093,0.05247,0.12536,0.02053,0.0101,1.30764,0.68399,0.98103,0.00165684,0.00165684,0.00165684
7,279.909,0.9069,1.26494,0.66792,0.10093,0.22556,0.05664,0.02503,0.93589,0.91272,0.74345,0.00165238,0.00165238,0.00165238
8,319.68,0.79731,1.015,0.57095,0.09106,0.27079,0.09063,0.04057,0.60562,1.09842,0.43554,0.00164713,0.00164713,0.00164713
9,359.18,0.70718,1.12718,0.54196,0.09479,0.20692,0.0814,0.03549,0.67542,1.03322,0.50757,0.00164108,0.00164108,0.00164108
10,398.505,0.7061,1.12442,0.56036,0.58877,0.22018,0.12263,0.06001,0.48209,1.25439,0.3332,0.00163424,0.00163424,0.00163424
11,438.153,0.54676,1.20703,0.33933,0.19809,0.29558,0.14362,0.07824,0.47865,1.37077,0.29904,0.00162661,0.00162661,0.00162661
12,477.788,0.5392,1.20068,0.35177,0.18646,0.229,0.13385,0.07186,0.61173,1.06616,0.46676,0.00161822,0.00161822,0.00161822
13,517.246,0.44767,1.22295,0.26614,0.16099,0.31021,0.12755,0.06999,0.41987,1.26096,0.25636,0.00160905,0.00160905,0.00160905
14,556.596,0.43189,1.35779,0.27932,0.23345,0.27957,0.17022,0.09683,0.34123,1.58748,0.21378,0.00159913,0.00159913,0.00159913
15,596.255,0.44054,1.39924,0.28953,0.17756,0.31723,0.18473,0.1135,0.41592,1.53042,0.28218,0.00158847,0.00158847,0.00158847
