epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.934,3.38856,12.0012,3.02297,0,0,0,0,nan,nan,nan,0.000547247,0.000547247,0.000547247
2,96.4804,3.4791,6.27333,3.11054,0,0,0,0,nan,nan,nan,0.00110264,0.00110264,0.00110264
3,144.081,3.28268,4.21059,2.96817,0,0,0,0,nan,nan,nan,0.00165696,0.00165696,0.00165696
4,191.526,3.3898,3.84718,2.99839,0,0,0,0,nan,nan,nan,0.00166334,0.00166334,0.00166334
5,239.184,3.1545,3.87882,2.9014,8e-05,0.00459,0,0,nan,nan,nan,0.00166049,0.00166049,0.00166049
6,286.839,3.05188,3.71562,2.79914,0.01149,0.25244,0.00556,0.00121,3.51697,3.69151,3.13917,0.00165684,0.00165684,0.00165684
7,334.808,2.82851,3.5395,2.64414,0.00045,0.04128,5e-05,1e-05,4.38381,5.15785,4.38715,0.00165238,0.00165238,0.00165238
8,383.254,2.8028,3.58785,2.69903,0.00493,0.12536,0.00162,0.00026,3.96591,4.44433,6.66569,0.00164713,0.00164713,0.00164713
9,430.746,2.74474,3.38295,2.60659,0.00606,0.32497,0.00662,0.0015,3.23447,3.64511,2.89871,0.00164108,0.00164108,0.00164108
10,478.793,2.77442,3.41253,2.62747,0.01028,0.5448,0.01548,0.00337,2.70832,3.2897,2.61436,0.00163424,0.00163424,0.00163424
11,526.878,2.68338,3.35874,2.62945,0.01059,0.45105,0.01015,0.00204,2.62261,3.49543,2.52221,0.00162661,0.00162661,0.00162661
12,575.095,2.72064,3.36729,2.59613,0.00634,0.3287,0.00756,0.00196,3.19105,3.63574,2.80077,0.00161822,0.00161822,0.00161822
13,623.03,2.62211,3.36859,2.61098,0.0111,0.60679,0.02477,0.00586,2.4997,3.23605,2.55039,0.00160905,0.00160905,0.00160905
14,670.942,2.59339,3.48356,2.54439,0.0116,0.59762,0.01917,0.00428,2.46107,3.27476,2.54474,0.00159913,0.00159913,0.00159913
15,718.324,2.63082,3.39809,2.58986,0.0096,0.55376,0.01461,0.00309,2.92377,3.417,2.81195,0.00158847,0.00158847,0.00158847
16,765.687,2.59321,3.31661,2.5352,0.01017,0.56601,0.01853,0.00342,2.78111,3.31241,2.83108,0.00157706,0.00157706,0.00157706
17,813.214,2.54508,3.25645,2.56456,0.00322,0.20485,0.00452,0.00117,3.96657,3.86,4.35848,0.00156493,0.00156493,0.00156493
18,860.526,2.52324,3.24475,2.54986,0.00861,0.3793,0.00929,0.00213,3.40015,4.54925,4.38027,0.00155209,0.00155209,0.00155209
19,907.879,2.59109,3.2326,2.53472,0.01033,0.57024,0.02193,0.00536,2.77474,3.2331,2.61646,0.00153854,0.00153854,0.00153854
20,955.442,2.58778,3.30323,2.54721,0.01255,0.66607,0.03004,0.00741,2.40786,3.10527,2.48386,0.00152431,0.00152431,0.00152431
21,1004.74,2.48476,3.26167,2.46472,0.00447,0.16937,0.00587,0.00096,3.92768,4.61886,3.55041,0.00150941,0.00150941,0.00150941
22,1054.58,2.51447,3.29664,2.50549,0.00468,0.2662,0.00823,0.00171,3.75197,3.81232,3.2414,0.00149384,0.00149384,0.00149384
23,1102.06,2.64333,3.40261,2.53814,0.01352,0.75846,0.0327,0.00717,2.54826,3.14245,2.51566,0.00147764,0.00147764,0.00147764
24,1149.79,2.57294,3.2659,2.49332,0.01258,0.68542,0.02648,0.00602,2.54708,3.18269,2.54978,0.0014608,0.0014608,0.0014608
25,1197.11,2.4899,3.20928,2.39656,0.01333,0.69409,0.0356,0.00916,2.36453,3.14537,2.47591,0.00144335,0.00144335,0.00144335
26,1246.49,2.5097,3.22551,2.48715,0.01379,0.73774,0.06419,0.01646,2.3716,3.10816,2.48598,0.00142531,0.00142531,0.00142531
27,1296.02,2.5175,3.13532,2.53338,0.01354,0.72671,0.04081,0.01091,2.37625,3.06327,2.49616,0.0014067,0.0014067,0.0014067
28,1345.05,2.4964,3.15599,2.4587,0.01297,0.72076,0.04527,0.01244,2.43897,3.15392,2.5066,0.00138753,0.00138753,0.00138753
29,1394.42,2.50041,3.10805,2.50496,0.0157,0.79616,0.0603,0.01409,2.43315,3.03157,2.44896,0.00136781,0.00136781,0.00136781
30,1442.03,2.53964,3.17222,2.4556,0.05687,0.35945,0.0568,0.01375,2.40087,2.9887,2.41715,0.00134758,0.00134758,0.00134758
31,1489.67,2.51854,3.20393,2.50927,0.01564,0.78548,0.04723,0.0112,2.3492,3.02024,2.41153,0.00132685,0.00132685,0.00132685
32,1537.27,2.45891,3.12545,2.41951,0.01433,0.81078,0.0386,0.00879,2.38615,3.22661,2.44905,0.00130565,0.00130565,0.00130565
33,1584.64,2.49927,3.18231,2.47496,0.01396,0.77222,0.03623,0.00907,2.36909,3.04429,2.45537,0.00128398,0.00128398,0.00128398
34,1631.84,2.44517,3.07696,2.42835,0.01367,0.72126,0.04008,0.00986,2.3359,3.07599,2.44123,0.00126188,0.00126188,0.00126188
35,1679.27,2.41567,3.05926,2.4166,0.04587,0.45456,0.07297,0.01875,2.36363,3.0999,2.44153,0.00123936,0.00123936,0.00123936
36,1727.18,2.42581,3.13163,2.43272,0.26112,0.10242,0.09497,0.025,2.37433,2.97512,2.43719,0.00121645,0.00121645,0.00121645
37,1775.51,2.48172,3.01685,2.44028,0.0145,0.79243,0.06247,0.01606,2.3693,3.01592,2.43042,0.00119317,0.00119317,0.00119317
38,1823.61,2.473,3.04703,2.47311,0.06557,0.2052,0.04595,0.01226,2.34822,2.98669,2.40053,0.00116955,0.00116955,0.00116955
39,1871.72,2.49061,3.09543,2.4342,0.04158,0.41363,0.04513,0.01197,2.37844,2.99884,2.42591,0.0011456,0.0011456,0.0011456
40,1919.95,2.40416,2.98309,2.40877,0.02381,0.73825,0.05647,0.01582,2.36175,2.97186,2.41705,0.00112135,0.00112135,0.00112135
41,1968.7,2.47354,2.99705,2.42864,0.06969,0.20657,0.04146,0.01096,2.41626,3.02246,2.42525,0.00109683,0.00109683,0.00109683
42,2018.67,2.43291,2.98725,2.42158,0.20949,0.09623,0.07606,0.02048,2.37045,2.89247,2.41187,0.00107205,0.00107205,0.00107205
43,2068.1,2.37162,2.93855,2.36998,0.56436,0.11719,0.08039,0.02182,2.32697,2.96264,2.40133,0.00104705,0.00104705,0.00104705
44,2117.71,2.4111,3.01924,2.44254,0.03269,0.69646,0.06116,0.01641,2.34736,2.95574,2.45694,0.00102184,0.00102184,0.00102184
45,2167.16,2.37944,3.07071,2.3972,0.04654,0.51641,0.05203,0.0137,2.34322,2.93478,2.43024,0.000996456,0.000996456,0.000996456
46,2216.6,2.38773,3.01566,2.33513,0.01517,0.80806,0.05192,0.01279,2.35124,2.93928,2.42245,0.000970919,0.000970919,0.000970919
47,2266.12,2.39377,2.92459,2.33723,0.01578,0.8636,0.04831,0.01374,2.29684,2.9481,2.35887,0.000945256,0.000945256,0.000945256
48,2315.63,2.3755,2.94923,2.34921,0.05413,0.54989,0.0677,0.0189,2.30731,2.91434,2.37158,0.00091949,0.00091949,0.00091949
49,2365.13,2.29145,2.86421,2.34006,0.07421,0.38611,0.09043,0.02615,2.28965,2.84412,2.33974,0.000893648,0.000893648,0.000893648
50,2415.1,2.40258,2.8858,2.37932,0.09372,0.35436,0.07632,0.02311,2.30151,2.82211,2.36115,0.000867754,0.000867754,0.000867754
51,2464.56,2.36253,2.83601,2.33204,0.07918,0.18055,0.0617,0.01707,2.32719,2.8698,2.33793,0.000841835,0.000841835,0.000841835
52,2514.53,2.35047,2.86105,2.34733,0.18668,0.16342,0.11695,0.03653,2.24987,2.74624,2.32572,0.000815916,0.000815916,0.000815916
53,2564.62,2.35157,2.81784,2.36699,0.14314,0.17794,0.09443,0.02982,2.2597,2.81746,2.32376,0.000790022,0.000790022,0.000790022
54,2614.03,2.26322,2.83078,2.27293,0.11679,0.17854,0.09361,0.02681,2.28177,2.77309,2.33066,0.00076418,0.00076418,0.00076418
55,2663.63,2.31176,2.76359,2.32887,0.19951,0.15969,0.10362,0.02923,2.29349,2.76181,2.35238,0.000738414,0.000738414,0.000738414
56,2713.16,2.24479,2.82361,2.34027,0.17905,0.19703,0.12111,0.0383,2.21495,2.71076,2.31009,0.000712751,0.000712751,0.000712751
57,2762.97,2.25693,2.77666,2.26922,0.1529,0.24699,0.12548,0.03957,2.18816,2.71761,2.29437,0.000687214,0.000687214,0.000687214
58,2812.79,2.26469,2.77541,2.29646,0.0627,0.18212,0.08114,0.02551,2.19517,2.78321,2.32021,0.000661831,0.000661831,0.000661831
59,2862.3,2.20541,2.72712,2.19563,0.15209,0.18177,0.1075,0.03417,2.15876,2.71753,2.28966,0.000636625,0.000636625,0.000636625
60,2911.85,2.18232,2.73794,2.2413,0.15736,0.23868,0.12012,0.03702,2.20534,2.72598,2.32704,0.000611621,0.000611621,0.000611621
