epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7726,1.50075,1.99794,1.52263,0.39208,0.45942,0.40519,0.24082,1.62779,2.3253,1.5171,0.000547118,0.000547118,0.000547118
2,97.0721,1.4768,2.0664,1.52642,0.43449,0.53894,0.45177,0.25026,1.63453,1.83738,1.54051,0.00110252,0.00110252,0.00110252
3,144.892,1.40051,1.91454,1.48809,0.47223,0.56268,0.50527,0.29895,1.4955,1.73333,1.43903,0.00165683,0.00165683,0.00165683
4,192.644,1.42628,1.85474,1.48038,0.58377,0.5057,0.52457,0.31148,1.55754,1.74567,1.43424,0.00166334,0.00166334,0.00166334
5,240.367,1.3974,2.00813,1.42001,0.33952,0.54183,0.42365,0.22754,1.53029,2.51108,1.49996,0.00166049,0.00166049,0.00166049
6,287.612,1.3612,1.91972,1.43331,0.43724,0.28151,0.33693,0.18341,1.76523,2.06158,1.59625,0.00165684,0.00165684,0.00165684
7,334.713,1.44913,1.96251,1.46458,0.4509,0.41194,0.44047,0.24372,1.57922,1.84213,1.52077,0.00165238,0.00165238,0.00165238
8,381.829,1.37804,1.83138,1.40758,0.38458,0.44042,0.38434,0.20973,1.66022,2.03093,1.58237,0.00164713,0.00164713,0.00164713
9,428.765,1.31974,1.6556,1.37327,0.39531,0.38658,0.31613,0.15566,1.7657,1.92417,1.72344,0.00164108,0.00164108,0.00164108
10,475.784,1.34425,1.6808,1.38113,0.28214,0.54444,0.37502,0.20441,1.56538,2.02571,1.55563,0.00163424,0.00163424,0.00163424
11,523.001,1.29453,1.72393,1.39161,0.44054,0.5648,0.47011,0.24771,1.55916,1.82506,1.51894,0.00162661,0.00162661,0.00162661
12,570.362,1.33875,1.60582,1.38024,0.35684,0.39905,0.37847,0.18396,1.77045,2.25066,1.66082,0.00161822,0.00161822,0.00161822
13,617.683,1.23976,1.63715,1.3354,0.43669,0.49625,0.44392,0.23892,1.60899,2.04018,1.49527,0.00160905,0.00160905,0.00160905
14,664.774,1.35006,1.59327,1.36,0.44957,0.62452,0.50845,0.28302,1.51359,1.87655,1.49713,0.00159913,0.00159913,0.00159913
15,711.741,1.25042,1.54536,1.3205,0.41465,0.4689,0.40265,0.21437,1.60118,1.87278,1.54622,0.00158847,0.00158847,0.00158847
16,758.931,1.24355,1.50917,1.36865,0.56327,0.62413,0.56698,0.33224,1.52314,1.68036,1.43362,0.00157706,0.00157706,0.00157706
17,806.752,1.24904,1.49997,1.32772,0.51891,0.53598,0.52575,0.29431,1.53971,1.74731,1.48549,0.00156493,0.00156493,0.00156493
18,853.823,1.23361,1.46955,1.33411,0.49755,0.47367,0.52639,0.28378,1.57477,1.84201,1.50858,0.00155209,0.00155209,0.00155209
19,900.841,1.29073,1.54144,1.30995,0.50822,0.30684,0.36627,0.21916,1.89192,2.53299,1.68921,0.00153854,0.00153854,0.00153854
20,947.834,1.22321,1.48472,1.30799,0.50514,0.50255,0.5117,0.28383,1.57082,1.7872,1.50451,0.00152431,0.00152431,0.00152431
21,995.001,1.22039,1.432,1.2536,0.53469,0.58476,0.61014,0.38056,1.49073,1.61438,1.49691,0.00150941,0.00150941,0.00150941
22,1042.72,1.14607,1.27289,1.24439,0.6094,0.34906,0.42338,0.25218,1.62798,2.1585,1.57262,0.00149384,0.00149384,0.00149384
23,1089.97,1.12131,1.27216,1.28741,0.47481,0.61338,0.55081,0.31496,1.48983,1.6466,1.48517,0.00147764,0.00147764,0.00147764
24,1137.13,1.13329,1.29428,1.23517,0.57719,0.55724,0.59396,0.35788,1.4717,1.75164,1.44013,0.0014608,0.0014608,0.0014608
25,1184.22,1.10388,1.31804,1.24863,0.42366,0.53106,0.51075,0.30456,1.55246,1.917,1.51241,0.00144335,0.00144335,0.00144335
26,1231.42,1.09152,1.18192,1.22094,0.60406,0.50564,0.59249,0.34525,1.52823,1.6532,1.47739,0.00142531,0.00142531,0.00142531
27,1278.63,1.05592,1.15811,1.22115,0.65039,0.50527,0.59981,0.34899,1.52065,1.63171,1.41841,0.0014067,0.0014067,0.0014067
28,1325.59,1.06827,1.11499,1.16472,0.41607,0.50096,0.4397,0.23174,1.60783,1.83551,1.5672,0.00138753,0.00138753,0.00138753
